Dataset,Actviity,SMILES,True_Value,Prediction,Probability,Best_Threshold
DICTrank,DICTrank,NC(=O)N1c2ccccc2C=Cc2ccccc21,1,0,0.7837912642912646,0.8895153527028526
DICTrank,DICTrank,NN=c1[n-]ncc2ccccc12,1,0,0.7877562437562436,0.8895153527028526
DICTrank,DICTrank,C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1,0,0.8337702228327228,0.8895153527028526
DICTrank,DICTrank,COc1ccc(CC[NH+](C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1,0,0.7858146159396157,0.8895153527028526
DICTrank,DICTrank,C[NH2+]CCC(Oc1ccccc1C)c1ccccc1,1,0,0.8102711871461868,0.8895153527028526
DICTrank,DICTrank,C[NH2+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1,0,0.8179658744033744,0.8895153527028526
DICTrank,DICTrank,C[NH2+]CCC=C1c2ccccc2CCc2ccccc21,1,0,0.6686642801642801,0.8895153527028526
DICTrank,DICTrank,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc([O-])c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1,0,0.7951602147852145,0.8895153527028526
DICTrank,DICTrank,CC1COc2c(N3CC[NH+](C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23,1,0,0.8479980505605508,0.8895153527028526
DICTrank,DICTrank,COc1ccc(C2Sc3ccccc3N(CC[NH+](C)C)C(=O)C2OC(C)=O)cc1,1,0,0.8050571373071373,0.8895153527028526
DICTrank,DICTrank,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1,1,0,0.8095616189366188,0.8895153527028526
DICTrank,DICTrank,CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,1,0,0.8080553196803193,0.8895153527028526
DICTrank,DICTrank,CCOC(=O)C1=C(COCC[NH3+])N=C(C)C(C(=O)OC)C1c1ccccc1Cl,1,0,0.800605796980797,0.8895153527028526
DICTrank,DICTrank,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCC[NH2+]1,1,0,0.87241780262748,0.8895153527028526
DICTrank,DICTrank,N=c1[n-]c(Cl)nc2c1ncn2C1CC(O)C(CO)O1,1,0,0.7168727175602178,0.8895153527028526
DICTrank,DICTrank,CC[NH+](CC)CCCC(C)N=c1cc[n-]c2cc(Cl)ccc12,1,0,0.7696073926073923,0.8895153527028526
DICTrank,DICTrank,CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,1,0,0.8223503926628924,0.8895153527028526
DICTrank,DICTrank,CCC[NH+](CCC)CCc1cccc2[n-]c([O-])cc12,1,0,0.792251649336327,0.8895153527028526
DICTrank,DICTrank,CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1,1,0,0.7961664238539238,0.8895153527028526
DICTrank,DICTrank,O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O,1,0,0.8318002691752692,0.8895153527028526
DICTrank,DICTrank,CC1=C(CC(=O)[O-])c2cc(F)ccc2C1=Cc1ccc([S+](C)O)cc1,1,0,0.795926295926296,0.8895153527028526
DICTrank,DICTrank,Cc1cccc(C)c1OCC(C)[NH3+],1,0,0.8152149933399933,0.8895153527028526
DICTrank,DICTrank,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,1,0,0.785022317959818,0.8895153527028526
DICTrank,DICTrank,CC(C)(C)NC(=O)C1CC2CCCCC2C[NH+]1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,1,0,0.8501274766899763,0.8895153527028526
DICTrank,DICTrank,O=C(CCC[NH+]1CC=C(n2c(=O)[n-]c3ccccc32)CC1)c1ccc(F)cc1,1,0,0.7570008671883675,0.8895153527028526
DICTrank,DICTrank,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1,0,0.7079141067266066,0.8895153527028526
DICTrank,DICTrank,COc1ccccc1OCC[NH2+]CC(O)COc1cccc2[nH]c3ccccc3c12,1,0,0.8034471361971361,0.8895153527028526
DICTrank,DICTrank,Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1,1,0,0.6814208499833502,0.8895153527028526
DICTrank,DICTrank,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,0,0.8359685730935731,0.8895153527028526
DICTrank,DICTrank,C[NH+]1C(C(=O)N=c2cccc[n-]2)C(=O)c2ccccc2S1(=O)=O,1,0,0.70784435009435,0.8895153527028526
DICTrank,DICTrank,COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1,1,0,0.7861536362383136,0.8895153527028526
DICTrank,DICTrank,Fc1ccc(C2CC[NH2+]CC2COc2ccc3c(c2)OCO3)cc1,1,0,0.7895377400377401,0.8895153527028526
DICTrank,DICTrank,CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)[NH+]1C(C(=O)[O-])CC2CCCC21,1,0,0.796487207237207,0.8895153527028526
DICTrank,DICTrank,COc1ccc2[n-]c([S+](O)Cc3ncc(C)c(OC)c3C)nc2c1,1,0,0.8177162490287487,0.8895153527028526
DICTrank,DICTrank,C=CC[NH+]1CCC23c4c5ccc([O-])c4OC2C(=O)CCC3(O)C1C5,1,0,0.8031906288156285,0.8895153527028526
DICTrank,DICTrank,NC(=[NH2+])N=c1[n-]c(CSCCC(=[NH2+])NS(N)(=O)=O)cs1,1,0,0.7648627206127206,0.8895153527028526
DICTrank,DICTrank,CCc1c(C)[nH]c2c1C(=O)C(C[NH+]1CCOCC1)CC2,1,0,0.7812186077811079,0.8895153527028526
DICTrank,DICTrank,COc1cc2[n-]c(N3CC[NH+](C(=O)c4ccco4)CC3)nc(=N)c2cc1OC,1,0,0.7486908855033855,0.8895153527028526
DICTrank,DICTrank,C[NH2+]CCCC1c2ccccc2C=Cc2ccccc21,1,0,0.7689039710289712,0.8895153527028526
DICTrank,DICTrank,Clc1ccc2c(c1)C(N1CC[NH2+]CC1)=[NH+]c1ccccc1O2,1,0,0.7878648504273502,0.8895153527028526
DICTrank,DICTrank,CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,1,0,0.7870702286219524,0.8895153527028526
DICTrank,DICTrank,CC[NH+](CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,1,0,0.7542190934065934,0.8895153527028526
DICTrank,DICTrank,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[NH+](CC)CC)c(I)c1,1,0,0.7479162712287711,0.8895153527028526
DICTrank,DICTrank,CCc1nn(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,1,0,0.7871615467865467,0.8895153527028526
DICTrank,DICTrank,C[NH+]=C(C[N+](=O)[O-])NCCSCc1csc(C[NH+](C)C)n1,1,0,0.7588899433899432,0.8895153527028526
DICTrank,DICTrank,C[NH+]1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,0,0.7724455613830614,0.8895153527028526
DICTrank,DICTrank,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)[NH+]2C1C(=O)[O-],1,0,0.8132951909201911,0.8895153527028526
DICTrank,DICTrank,CC1C(=NC(=O)C([NH2+]OC(C)(C)C(=O)[O-])c2csc(=N)[n-]2)C(=O)N1S(=O)(=O)[O-],1,0,0.7228443154068153,0.8895153527028526
DICTrank,DICTrank,COc1cc([NH2+]C(C)CCC[NH3+])c2ncccc2c1,1,0,0.8269115953490953,0.8895153527028526
DICTrank,DICTrank,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)[NH+]2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,1,0,0.7975548201798204,0.8895153527028526
DICTrank,DICTrank,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,1,0,0.6941162726162726,0.8895153527028526
DICTrank,DICTrank,NS(=O)(=O)c1cc2c(cc1Cl)[NH+]=CNS2(=O)=O,1,0,0.8029430708180709,0.8895153527028526
DICTrank,DICTrank,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,1,0,0.861144341769342,0.8895153527028526
DICTrank,DICTrank,Cc1ccc(C)c(OCCCC(C)(C)C(=O)[O-])c1,1,0,0.7761878052503051,0.8895153527028526
DICTrank,DICTrank,CC(C)[NH2+]CC(O)COc1cccc2[nH]ccc12,1,0,0.7206053321678323,0.8895153527028526
DICTrank,DICTrank,CC(=O)OCC(CCn1cnc2c[n-]c(=N)nc21)COC(C)=O,1,0,0.7669407606282604,0.8895153527028526
DICTrank,DICTrank,N=c1[n-]c2ccc(OC(F)(F)F)cc2s1,1,0,0.8033623321123319,0.8895153527028526
DICTrank,DICTrank,C=CC1=C(C(=O)[O-])[NH+]2C(=O)C(=NC(=O)C([NH2+]OCC(=O)[O-])c3csc(=N)[n-]3)C2SC1,0,0,0.7398860514485512,0.8895153527028526
DICTrank,DICTrank,CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccc([O-])cc3)C2SC1,0,0,0.8423770673770673,0.8895153527028526
DICTrank,DICTrank,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc([O-])cc2)[NH+]1c1ccc(F)cc1,0,0,0.827810037185037,0.8895153527028526
DICTrank,DICTrank,N=c1[n-]c(=N)c2nc(-c3ccccc3)c(=N)[n-]c2[n-]1,0,0,0.8048086080586081,0.8895153527028526
DICTrank,DICTrank,COc1ccnc(C[S+](O)c2nc3cc(OC(F)F)ccc3[n-]2)c1OC,0,0,0.7468477425352427,0.8895153527028526
DICTrank,DICTrank,CC(=O)N=c1[n-]nc(S(N)(=O)=O)s1,0,0,0.8084433760683765,0.8895153527028526
DICTrank,DICTrank,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,0,0,0.8084825521700522,0.8895153527028526
DICTrank,DICTrank,Cc1nnc(SC=C2CSC3C(NC(=O)Cn4cnnn4)C(=O)[NH+]3C2C(=O)[O-])s1,0,0,0.8399523393273394,0.8895153527028526
DICTrank,DICTrank,CC[NH+]1CC[NH+](C(=O)NC(C(=O)NC2C(=O)[NH+]3C2SC(C)(C)C3C(=O)[O-])c2ccccc2)C(=O)C1=O,0,0,0.831719794094794,0.8895153527028526
DICTrank,DICTrank,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(COC(N)=O)CSC12)c1ccco1,0,0,0.791326714951715,0.8895153527028526
DICTrank,DICTrank,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1[O-],0,0,0.7137052461427461,0.8895153527028526
DICTrank,DICTrank,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,0,0,0.7662706252081252,0.8895153527028526
DICTrank,DICTrank,COc1cc(Cc2c[n-]c(=N)[n-]c2=N)cc(OC)c1OC,0,0,0.8026618381618382,0.8895153527028526
DICTrank,DICTrank,COc1cc(C(=O)NCc2ccc(OCC[NH+](C)C)cc2)cc(OC)c1OC,0,0,0.7984113941613942,0.8895153527028526
DICTrank,DICTrank,Clc1ccccc1C[NH+]1CCc2sccc2C1,0,0,0.8040164002664001,0.8895153527028526
DICTrank,DICTrank,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1,0,0,0.7713373223998222,0.8895153527028526
DICTrank,DICTrank,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[n-]cnc12,0,0,0.7818823606948608,0.8895153527028526
DICTrank,DICTrank,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,0,0,0.7409415168165167,0.8895153527028526
DICTrank,DICTrank,COC(=O)N=c1[n-]c2ccc(C(=O)c3ccccc3)cc2[n-]1,0,0,0.8037605866355868,0.8895153527028526
DICTrank,DICTrank,CC(C)(C(=O)[O-])c1ccc(C(O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0,0,0.7889298340548337,0.8895153527028526
DICTrank,DICTrank,CCC1(c2ccccc2)C(=O)NCNC1=O,0,0,0.7971695041070038,0.8895153527028526
DICTrank,DICTrank,CCOC(=O)[NH+]1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0,0,0.8108312382062379,0.8895153527028526
DICTrank,DICTrank,CCCSc1ccc2[n-]c(=NC(=O)OC)[n-]c2c1,0,0,0.7545474594849592,0.8895153527028526
DICTrank,DICTrank,CCC[NH+](CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,0,0,0.7500687350284122,0.8895153527028526
DICTrank,DICTrank,CC[NH+](CC)C(=S)SSC(=S)[NH+](CC)CC,0,0,0.8381384934509934,0.8895153527028526
